iter	RMSE
0	0.0986186646
1	0.09668306567
2	0.09494320986
3	0.09332976376
4	0.09187246079
5	0.09048599107
6	0.08929415425
7	0.08827921971
8	0.0873493711
9	0.08643400629
10	0.08566500276
11	0.08492773517
12	0.08423181681
13	0.08357979358
14	0.08304838678
15	0.08256702126
16	0.08209503415
17	0.08161261606
18	0.0812302269
19	0.0808855962
20	0.08051542563
21	0.08019747677
22	0.07990842633
23	0.07959834772
24	0.0793507042
25	0.07910335228
26	0.07886619089
27	0.07866474375
28	0.07845622933
29	0.07825558548
30	0.07807319485
31	0.07792660042
32	0.07778402286
33	0.07766047954
34	0.0775504386
35	0.07742701723
36	0.07730122543
37	0.0771738448
38	0.07707381642
39	0.07695330421
40	0.07681082456
41	0.07670955637
42	0.07662994234
43	0.07655529217
44	0.07647020331
45	0.07638932309
46	0.07628331865
47	0.07621243014
48	0.07612172014
49	0.07606358297
50	0.07599730404
51	0.07592191654
52	0.07585834142
53	0.07580110151
54	0.07574486873
55	0.07566588945
56	0.07561042823
57	0.07556302368
58	0.07550105985
59	0.07543165192
60	0.07538923535
61	0.07533622081
62	0.07529511829
63	0.07524240141
64	0.07519112249
65	0.07514162574
66	0.07509989826
67	0.07505491857
68	0.07501805559
69	0.07496455091
70	0.07492346028
71	0.07489488752
72	0.07486502184
73	0.07483048447
74	0.074793308
75	0.0747556272
76	0.0747292507
77	0.07470032054
78	0.07466564412
79	0.07464366725
80	0.07461560125
81	0.07458683262
82	0.07455377457
83	0.07452704352
84	0.07449079008
85	0.0744706566
86	0.07443367707
87	0.07439913975
88	0.07436052896
89	0.07434859569
90	0.07432296277
91	0.07429820307
92	0.07426257225
93	0.07424203003
94	0.07421148028
95	0.07417792812
96	0.07415920699
97	0.07412930669
98	0.0741038054
99	0.07408100411
100	0.07404328783
101	0.0739918102
102	0.07395616285
103	0.07393239765
104	0.07390864022
105	0.07386667514
106	0.07383872908
107	0.07382445442
108	0.073793593
109	0.07376333875
110	0.0737364004
111	0.07370032545
112	0.07368041604
113	0.07366071672
114	0.07362041079
115	0.07360434229
116	0.07358490952
117	0.07356641497
118	0.07355060402
119	0.07353420493
120	0.0735131479
121	0.07350335096
122	0.07348960151
123	0.0734698924
124	0.07344677164
125	0.07341305807
126	0.07338260004
127	0.07334334526
128	0.07331960195
129	0.07330088479
130	0.0732901596
131	0.07326771854
132	0.07325853648
133	0.07325147312
134	0.07323051805
135	0.07320503099
136	0.07318139323
137	0.07314939365
